Id,Latitude,Longitude
637,39.797733,-86.238795
638,39.797742,-86.238795
639,39.797751,-86.238795
640,39.79776,-86.238795
641,39.797768,-86.238795
642,39.797777,-86.238795
643,39.797786,-86.238795
644,39.797795,-86.238794
645,39.797804,-86.238794
646,39.797813,-86.238794
647,39.797822,-86.238794
648,39.797831,-86.238794
649,39.79784,-86.238794
650,39.797849,-86.238794
651,39.797858,-86.238794
652,39.797867,-86.238794
653,39.797876,-86.238794
654,39.797885,-86.238794
655,39.797894,-86.238794
656,39.797903,-86.238794
657,39.797912,-86.238794
658,39.797921,-86.238794
659,39.79793,-86.238794
660,39.797939,-86.238794
661,39.797948,-86.238794
662,39.797957,-86.238794
663,39.797966,-86.238794
664,39.797975,-86.238794
665,39.797984,-86.238794
666,39.797993,-86.238794
667,39.798002,-86.238794
668,39.798011,-86.238794
669,39.79802,-86.238794
670,39.798029,-86.238794
671,39.798038,-86.238794
672,39.798047,-86.238794
673,39.798056,-86.238794
674,39.798065,-86.238794
675,39.798074,-86.238794
676,39.798083,-86.238794
677,39.798092,-86.238794
678,39.798101,-86.238794
679,39.79811,-86.238794
680,39.798119,-86.238794
681,39.798128,-86.238794
682,39.798137,-86.238794
683,39.798146,-86.238794
684,39.798155,-86.238794
685,39.798164,-86.238794
686,39.798173,-86.238794
687,39.798182,-86.238794
688,39.798191,-86.238794
689,39.7982,-86.238794
690,39.798209,-86.238794
691,39.798218,-86.238794
692,39.798227,-86.238794
693,39.798236,-86.238794
694,39.798245,-86.238794
695,39.798254,-86.238794
696,39.798263,-86.238794
697,39.798272,-86.238794
698,39.798281,-86.238794
699,39.79829,-86.238794
700,39.798298,-86.238794
701,39.798307,-86.238794
702,39.798316,-86.238793
703,39.798325,-86.238793
704,39.798334,-86.238793
705,39.798343,-86.238793
706,39.798352,-86.238793
707,39.798361,-86.238793
708,39.79837,-86.238793
709,39.798379,-86.238793
710,39.798388,-86.238793
711,39.798397,-86.238793
712,39.798406,-86.238792
713,39.798415,-86.238792
714,39.798424,-86.238792
715,39.798433,-86.238792
716,39.798442,-86.238792
717,39.798451,-86.238792
718,39.79846,-86.238792
719,39.798469,-86.238792
720,39.798478,-86.238792
721,39.798487,-86.238792
722,39.798496,-86.238791
723,39.798505,-86.238791
724,39.798514,-86.238791
725,39.798523,-86.238791
726,39.798532,-86.238791
727,39.798541,-86.238791
728,39.79855,-86.238791
729,39.798559,-86.238791
730,39.798568,-86.238791
731,39.798577,-86.238791
732,39.798586,-86.23879
733,39.798595,-86.23879
734,39.798604,-86.23879
735,39.798613,-86.23879
736,39.798622,-86.23879
737,39.798631,-86.23879
738,39.79864,-86.23879
739,39.798649,-86.23879
740,39.798658,-86.23879
741,39.798667,-86.238789
742,39.798676,-86.238789
743,39.798685,-86.238789
744,39.798694,-86.238788
745,39.798703,-86.238788
746,39.798712,-86.238788
747,39.798721,-86.238787
748,39.79873,-86.238787
749,39.798739,-86.238787
750,39.798748,-86.238786
751,39.798757,-86.238786
752,39.798766,-86.238785
753,39.798775,-86.238784
754,39.798784,-86.238783
755,39.798793,-86.238782
756,39.798802,-86.238782
757,39.798811,-86.238781
758,39.798819,-86.23878
759,39.798828,-86.238778
760,39.798837,-86.238776
761,39.798846,-86.238774
762,39.798855,-86.238773
763,39.798864,-86.238771
764,39.798873,-86.238769
765,39.798882,-86.238767
766,39.79889,-86.238764
767,39.798899,-86.23876
768,39.798907,-86.238756
769,39.798916,-86.238753
770,39.798924,-86.238749
771,39.798933,-86.238746
772,39.798941,-86.238742
773,39.798949,-86.238736
774,39.798957,-86.23873
775,39.798965,-86.238724
776,39.798972,-86.238718
777,39.79898,-86.238713
778,39.798988,-86.238707
779,39.798995,-86.2387
780,39.799002,-86.238692
781,39.799008,-86.238684
782,39.799015,-86.238676
783,39.799021,-86.238668
784,39.799028,-86.23866
785,39.799034,-86.238652
786,39.79904,-86.238643
787,39.799045,-86.238634
788,39.79905,-86.238624
789,39.799055,-86.238614
790,39.79906,-86.238604
791,39.799065,-86.238595
792,39.79907,-86.238585
793,39.799075,-86.238575
794,39.799078,-86.238564
795,39.799081,-86.238553
796,39.799085,-86.238543
797,39.799088,-86.238532
798,39.799091,-86.238521
799,39.799094,-86.23851
800,39.799097,-86.238499
801,39.7991,-86.238488
802,39.799102,-86.238476
803,39.799104,-86.238465
804,39.799106,-86.238454
805,39.799108,-86.238442
806,39.79911,-86.238431
807,39.799112,-86.23842
808,39.799115,-86.238408
809,39.799116,-86.238397
810,39.799117,-86.238385
811,39.799119,-86.238374
812,39.79912,-86.238362
813,39.799121,-86.238351
814,39.799123,-86.238339
815,39.799124,-86.238327
816,39.799126,-86.238316
817,39.799127,-86.238304
818,39.799128,-86.238293
819,39.799129,-86.238281
820,39.79913,-86.238269
821,39.799132,-86.238258
822,39.799133,-86.238246
823,39.799134,-86.238235
824,39.799135,-86.238223
825,39.799137,-86.238212
826,39.799138,-86.2382
827,39.79914,-86.238189
828,39.799142,-86.238177
829,39.799144,-86.238166
830,39.799145,-86.238154
831,39.799147,-86.238143
832,39.799149,-86.238131
833,39.799151,-86.23812
834,39.799153,-86.238109
835,39.799156,-86.238098
836,39.799159,-86.238087
837,39.799162,-86.238076
838,39.799165,-86.238064
839,39.799168,-86.238053
840,39.799171,-86.238042
841,39.799174,-86.238031
842,39.799177,-86.23802
843,39.799181,-86.23801
844,39.799185,-86.237999
845,39.799189,-86.237989
846,39.799193,-86.237979
847,39.799197,-86.237968
848,39.799201,-86.237958
849,39.799205,-86.237947
850,39.799209,-86.237937
851,39.799214,-86.237927
852,39.799219,-86.237918
853,39.799225,-86.237908
854,39.79923,-86.237899
855,39.799236,-86.237889
856,39.799241,-86.23788
857,39.799247,-86.237871
858,39.799252,-86.237861
859,39.799258,-86.237852
860,39.799264,-86.237843
861,39.79927,-86.237836
862,39.799277,-86.237828
863,39.799284,-86.23782
864,39.799291,-86.237813
865,39.799298,-86.237805
866,39.799305,-86.237797
867,39.799311,-86.237789
868,39.799318,-86.237782
869,39.799326,-86.237775
870,39.799333,-86.237769
871,39.799341,-86.237763
872,39.799349,-86.237758
873,39.799356,-86.237752
874,39.799364,-86.237746
875,39.799372,-86.23774
876,39.79938,-86.237734
877,39.799387,-86.237728
878,39.799396,-86.237724
879,39.799404,-86.23772
880,39.799413,-86.237716
881,39.799421,-86.237713
882,39.79943,-86.237709
883,39.799438,-86.237706
884,39.799447,-86.237702
885,39.799455,-86.237699
886,39.799464,-86.237695
887,39.799473,-86.237693
888,39.799482,-86.237692
889,39.79949,-86.23769
890,39.799499,-86.237689
891,39.799508,-86.237688
892,39.799517,-86.237686
893,39.799526,-86.237685
894,39.799535,-86.237684
895,39.799544,-86.237683
896,39.799553,-86.237682
897,39.799562,-86.237682
898,39.799571,-86.237682
899,39.79958,-86.237681
900,39.799589,-86.237681
901,39.799598,-86.237681
902,39.799607,-86.237681
903,39.799616,-86.237681
904,39.799625,-86.237681
905,39.799634,-86.237681
906,39.799643,-86.237681
907,39.799652,-86.237682
908,39.799661,-86.237683
909,39.79967,-86.237683
910,39.799679,-86.237684
911,39.799688,-86.237685
912,39.799697,-86.237685
913,39.799706,-86.237686
914,39.799715,-86.237686
915,39.799723,-86.237687
916,39.799732,-86.237688
917,39.799741,-86.237689
918,39.79975,-86.23769
919,39.799759,-86.23769
920,39.799768,-86.237691
921,39.799777,-86.237692
922,39.799786,-86.237693
923,39.799795,-86.237694
924,39.799804,-86.237694
925,39.799813,-86.237695
926,39.799822,-86.237696
927,39.799831,-86.237697
928,39.79984,-86.237697
929,39.799849,-86.237698
930,39.799858,-86.237699
931,39.799867,-86.237699
932,39.799876,-86.2377
933,39.799885,-86.237701
934,39.799894,-86.237702
935,39.799903,-86.237702
